#
# Sources from ATCA catalog (Murphy et al. 2010 2010MNRAS.402.2403M) 
# which do NOT have ALMA measurements, but could have an entry in the full DB 
#
# RA and Dec in deg. The mean uncertainties (ATCA) are 13.5 arcsec (RA) and 1.0 arcsec (Dec)
# ALMA RA and Dec and error values from the ALMA DB 
# 20GHz: flux at 20 GHz from 2010 paper
#        sources with flux20G=error, do not have an entry in Murphy data (extended sources)
#        sources with error=0, do not have any error entry in Murphy data
# 93GHz: flux at 93 GHz observed at ATCA, from website (ATCA Calibrator Database v3)
#        Note the observation date was not provided in the website output search
# B3estimate=20GHz/4
# Flags: g=good or p=poor data quality
#        e = extended source
#        h = Galactic HII region
#        p = Galactic planetary nebula
#        m = Magellanic clouds source
#        l = no match in low frequency surveys
#        b = large and extended See the paper for more details of these classifications
#        nnn = no flag
#
#                                                        Flux Density (mJy)         
#  ATCA Name     RA(deg)  errRA  Dec(deg)  errDec   20GHz  error  93GHz   B3estim    Flags       ALMAname  ALMAra(deg) error  ALMAdec(deg) error
#
J062710-055304	96.791955	0.00375	-5.88447	0.00028	1637	76	432	409.25	g	nnn					
J001259-395426	3.24954	0.00375	-39.90733	0.00028	1609	73	301	402.25	g	nnn					
J040534-130813	61.391715	0.00375	-13.13708	0.00028	1576	77	555	394	g	nnn	J0405-1308|J0405-131|J040533-130815|B0403-132	61.3916808	0.0000002	-13.1371363	0.0000002
J224838-323552	342.16113	0.00375	-32.59789	0.00028	1466	96	1044	366.5	g	nnn					
J051926-454554	79.859745	0.00375	-45.76514	0.00028	1464	55	NONE	366	g	e					
J005109-422632	12.789585	0.00375	-42.44236	0.00028	1462	72	376	365.5	g	nnn	J0051-4226|J005109-422638|J0052-424	12.7895909	0.0000002	-42.4425815	0.0000002
J125759-315515	194.49666	0.00375	-31.92089	0.00028	1460	72	NONE	365	g	nnn					
J032954-235708	52.475415	0.00375	-23.95239	0.00028	1458	95	643	364.5	g	nnn					
J045005-810102	72.522045	0.00375	-81.01731	0.00028	1447	160	1175	361.75	g	nnn	J0450-8101|J045008-810057	72.522667529	0	-81.017286489	0
J090453-573504	136.222335	0.00375	-57.58464	0.00028	1434	72	NONE	358.5	g	nnn					
J013243-165448	23.181375	0.00375	-16.91336	0.00028	1431	92	1380	357.75	g	nnn	J0132-1654|J0132-169|J013243-165443|B0130-171	23.1811978	0.0000002	-16.9134783	0.0000002
J112704-185719	171.768165	0.00375	-18.95528	0.00028	1414	91	NONE	353.5	g	nnn					
J073106-234147	112.777785	0.00375	-23.69658	0.00028	1391	90	373	347.75	g	nnn					
J151345-101202	228.437625	0.00375	-10.20081	0.00028	1375	67	NONE	343.75	g	nnn					
J052728-124150	81.86754	0.00375	-12.69728	0.00028	1336	42	NONE	334	g	ep					
J034838-274913	57.15879	0.00375	-27.82039	0.00028	1325	84	563	331.25	g	nnn	J0348-2749|J0348-278|J034840-274916|B0346-279	57.1589357	0.0000002	-27.8204349	0.0000002
J005108-065004	12.78441	0.00375	-6.83444	0.00028	1281	62	NONE	320.25	g	nnn					
J132236-093655	200.653755	0.00375	-9.61542	0.00028	1277	56	NONE	319.25	g	nnn					
J214629-775554	326.623875	0.00375	-77.93189	0.00028	1264	83	NONE	316	g	nnn					
J104144-473959	160.435875	0.00375	-47.66664	0.00028	1261	56	731	315.25	g	nnn					
J202540-073551	306.419505	0.00375	-7.59775	0.00028	1246	61	NONE	311.5	g	nnn	J2025-0735|J202541-073548	306.419418379	0	-7.59796905	0
J040748-121136	61.95192	0.00375	-12.19333	0.00028	1245	61	NONE	311.25	g	nnn	J0407-1211	61.9517957	0.0000001	-12.1935165	0.0000001
J235811-102008	359.54583	0.00375	-10.33556	0.00028	1243	59	776	310.75	p	nnn					
J174425-514445	266.105955	0.00375	-51.74603	0.00028	1240	61	NONE	310	g	nnn					
J031155-765151	47.980545	0.00375	-76.86422	0.00028	1238	81	NONE	309.5	g	nnn					
J232331-031705	350.88321	0.00375	-3.28478	0.00028	1236	62	798	309	g	nnn					
J181945-552122	274.939215	0.00375	-55.35611	0.00028	1232	61	NONE	308	g	nnn					
