ATCA_name,RA_atca,errRA_atca,DEC_atca,errDEC_atca,f20,ef20,f93,B3est,Flags,Flags2,ALMAname,SOURCE_ID,distance_alma,distance_vlbi,distance_grid,CATALOGUE_ID,RA_alma,RA_UNCERTAINTY_alma,DEC_alma,DEC_UNCERTAINTY_alma,FREQUENCY,FLUX,FLUX_UNCERTAINTY,DATE_OBSERVED,VALID,IVS,name,RA_vlbi,DEC_vlbi,Grid_close,OTHER,OTHER2
J151345-101202,228.437625,0.00375,-10.20081,0.00028,1375,67,NONE,343.75,g,nnn,,6746,3.3309127092,3.3309127092,51128.4129032659,5,228.4370558917,3.05555555555556E-008,-10.2000735444,3.05555555555556E-008,91460000000,0.84,0.01,2014-01-13 00:00:00,1,1511-100,J1513-1012,228.4370558917,-10.2000735444,J1517-2422|J1517-243|J151743-242216|B1514-241,,
J034838-274913,57.15879,0.00375,-27.82039,0.00028,1325,84,563,331.25,g,nnn,J0348-2749|J0348-278|J034840-274916|B0346-279,1847,0.4913123662,0.4913123662,45625.0776794345,5,57.158935725,3.33333333333333E-008,-27.8204348944,2.77777777777778E-008,91460000000,0.61,0.02,2013-12-31 00:00:00,1,0346-279,J0348-2749,57.158935725,-27.8204348944,J0334-4008|J0334-401|J033413-400830|B0332-403,,
J104144-473959,160.435875,0.00375,-47.66664,0.00028,1261,56,731,315.25,g,nnn,,4716,5701.8923157317,0.4340180815,18834.6075800837,3,162.72252,,-47.31793,,4850000000,0.805,,2006-12-19 00:00:00,1,1039-474,J1041-4740,160.4360412417,-47.6666847278,J1107-4449|J1107-448|J110707-444905|B1104-445,,
J040748-121136,61.95192,0.00375,-12.19333,0.00028,1245,61,NONE,311.25,g,nnn,J0407-1211,13036,0.8012984385,0.8012100122,41426.0750910615,21,61.9517957,0.0000001,-12.1935165,0.0000001,20000000000,1.245,0.061,2006-01-01 00:00:00,1,0405-123,J0407-1211,61.95179575,-12.1935165028,J0423-0120|J0423-013|J042315-012034|B0420-014,,
J174425-514445,266.105955,0.00375,-51.74603,0.00028,1240,61,NONE,310,g,nnn,,7748,1.9764968707,1.9764968707,51049.4727353925,5,266.1060635542,3.11111111111111E-007,-51.7454851028,0.0000001,106250000000,0.15,0.01,2012-03-22 00:00:00,1,1740-517,J1744-5144,266.1060635542,-51.7454851028,J1617-5848|J1613-586,,
J031155-765151,47.980545,0.00375,-76.86422,0.00028,1238,81,NONE,309.5,g,nnn,,1579,0.4524542808,0.4401884705,43123.2125536981,3,47.98021,,-76.86412,,4850000000,0.694,,2006-12-19 00:00:00,1,0312-770,J0311-7651,47.9802090833,-76.8641244833,J0635-7516|J063542-751615|B0637-752,,
J193926-152543,294.86142,0.00375,-15.42869,0.00028,1194,60,707,298.5,g,nnn,,8420,1.221896026,1.221896026,51178.9957918683,5,294.8610739458,3.05555555555556E-008,-15.4286273472,2.77777777777778E-008,91460000000,0.41,0.03,2013-12-30 00:00:00,1,1936-155,J1939-1525,294.8610739458,-15.4286273472,J1924-2914|J1924-292|J192451-291428|B1921-293,,
J111817-123255,169.571205,0.00375,-12.54872,0.00028,1182,59,NONE,295.5,g,nnn,,4913,1.3653292742,1.3653258147,53803.5122518448,5,169.5714225458,4.72222222222222E-008,-12.5484057639,0.0000001,343250000000,0.14,0.05,2012-06-15 00:00:00,1,1115-122,J1118-1232,169.5714225458,-12.5484057639,J1058+0133|J1058+015|J105830+013340|B1055+018,,
J220743-534633,331.93242,0.00375,-53.77603,0.00028,1122,56,NONE,280.5,g,nnn,,9521,0.4389527231,0.4356041164,46981.2418041113,3,331.93222,,-53.77606,,4850000000,1.41,,2006-12-19 00:00:00,1,2204-540,J2207-5346,331.9322220958,-53.7760610611,J2056-4714|J2056-472|J205615-471445|B2052-474,,
J050112-015914,75.30333,0.00375,-1.98722,0.00028,1097,53,1207,274.25,g,nnn,J0501-0159|J0501-019|J050112-015921|B0458-020,2428,0.3090137914,0.3090137914,34219.1449223175,5,75.3033745125,2.77777777777778E-008,-1.9872934028,2.77777777777778E-008,91460000000,1.38,0.03,2013-12-31 00:00:00,1,0458-020,J0501-0159,75.3033745125,-1.9872934028,J0423-0120|J0423-013|J042315-012034|B0420-014,,
