vla_name p_err ra dec est_flux 
1146+399 0.001 11:46:58.297907 39:58:34.304610 0.42 
1257+324 0.005 12:57:57.2317 32:29:29.318 0.42 
1608+104 0.001 16:08:46.203179 10:29:07.775850 0.41 
0005+383 0.001 00:05:57.175409 38:20:15.148570 0.4 
0051-068 0.001 00:51:08.209796 -06:50:02.228140 0.4 
0217+017 0.001 02:17:48.954740 01:44:49.699090 0.4 
0310+382 0.001 03:10:49.879970 38:14:53.837880 0.4 
0325+226 0.001 03:25:36.814375 22:24:00.365180 0.4 
0359+323 0.001 03:59:44.912900 32:20:47.155500 0.4 
0502+061 0.001 05:02:15.445934 06:09:07.494300 0.4 
0738+177 0.001 07:38:07.393747 17:42:18.998270 0.4 
0745-007 0.005 07:45:54.082313 -00:44:17.539800 0.4 
0840+132 0.005 08:40:47.5890 13:12:23.5600 0.4 
0956+252 0.001 09:56:49.875361 25:15:16.049770 0.4 
1043+241 0.001 10:43:09.035777 24:08:35.409460 0.4 
1224+035 0.005 12:24:52.421938 03:30:50.292910 0.4 
1540+147 0.001 15:40:49.491511 14:47:45.884850 0.4 
1734+389 0.001 17:34:20.578534 38:57:51.443100 0.4 
1902+319 0.001 19:02:55.938870 31:59:41.702090 0.4 
2011-067 0.001 20:11:14.215847 -06:44:03.555190 0.4 
2024+173 0.001 20:24:56.563449 17:18:13.197600 0.4 
2049+100 0.001 20:49:45.864995 10:03:14.398900 0.4 
2236+284 0.001 22:36:22.470860 28:28:57.413290 0.4 
2346+095 0.001 23:46:36.838558 09:30:45.514970 0.4 
1419+383 0.001 14:19:46.613761 38:21:48.475220 0.38 
0205+322 0.001 02:05:04.925371 32:12:30.095600 0.35 
0224+069 0.001 02:24:28.428190 06:59:23.341640 0.35 
0422+023 0.001 04:22:52.214644 02:19:26.931920 0.35 
0509+101 0.001 05:09:27.457077 10:11:44.600160 0.35 
0541-056 0.001 05:41:38.083384 -05:41:49.428390 0.35 
0748+240 0.001 07:48:36.109278 24:00:24.110180 0.35 
1051+213 0.001 10:51:48.789073 21:19:52.314110 0.35 
1215+169 0.001 12:15:03.979124 16:54:37.957360 0.35 
1239+075 0.001 12:39:24.588312 07:30:17.189090 0.35 
1254+116 0.001 12:54:38.255601 11:41:05.895070 0.35 
1446+173 0.001 14:46:35.346298 17:21:07.581340 0.35 
1510-057 0.001 15:10:53.591431 -05:43:07.417180 0.35 
1557-000 0.001 15:57:51.433973 -00:01:50.413710 0.35 
1619+227 0.001 16:19:14.824622 22:47:47.851130 0.35 
1653+397 0.001 16:53:52.216688 39:45:36.608900 0.35 
1851+005 0.05 18:51:46.7217 00:35:32.414 0.35 
