vla_name p_err ra dec est_flux 
2343+236 0.001 23:43:12.387033 23:39:45.647090 0.13 
0047+245 0.005 00:47:43.8754 24:35:16.073 0.12 
0058+063 0.005 00:58:33.8058 06:20:06.084 0.12 
0158+131 0.005 01:58:56.2740 13:07:02.737 0.12 
0240+188 0.005 02:40:42.8169 18:48:00.054 0.12 
0305+175 0.005 03:05:10.2245 17:34:59.093 0.12 
0334+080 0.001 03:34:53.316689 08:00:14.418780 0.12 
0400+058 0.001 04:00:11.735376 05:50:43.122920 0.12 
0433+290 0.005 04:33:37.8329 29:05:55.460 0.12 
0439+307 0.005 04:39:17.7779 30:45:07.506 0.12 
0750+183 0.005 07:50:00.3305 18:23:11.410 0.12 
0845+046 0.005 08:45:17.1444 04:39:47.361 0.12 
0912+220 0.005 09:12:24.7856 22:05:06.230 0.12 
1016+052 0.001 10:16:03.136474 05:13:02.340380 0.12 
1112+347 0.005 11:12:38.7687 34:46:39.121 0.12 
1220+345 0.005 12:20:08.2906 34:31:21.721 0.12 
1300+285 0.005 13:00:28.5298 28:30:10.201 0.12 
1300+142 0.005 13:00:41.0380 14:17:29.419 0.12 
1416+347 0.001 14:16:04.186239 34:44:36.427560 0.12 
1420+170 0.005 14:20:20.8917 17:03:29.199 0.12 
1555+111 0.005 15:55:43.0443 11:11:24.377 0.12 
1641+229 0.005 16:41:25.2329 22:57:04.078 0.12 
1658-076 0.05 16:58:44.0610 -07:39:17.629 0.12 
1716+218 0.005 17:16:11.190687 21:52:13.667720 0.12 
1722+102 0.005 17:22:44.5823 10:13:35.767 0.12 
1743+377 0.005 17:43:47.6465 37:47:53.826 0.12 
1752+175 0.005 17:52:46.0035 17:34:20.343 0.12 
1832+075 0.001 18:32:41.989113 07:31:55.124060 0.12 
1912+376 0.001 19:12:25.123615 37:40:36.644990 0.12 
1956+283 0.05 19:56:46.0330 28:20:58.093 0.12 
2021+233 0.2 20:21:03.4761 23:18:35.672 0.12 
2024+004 0.005 20:24:22.7137 00:27:53.075 0.12 
2050+314 0.001 20:50:51.131466 31:27:27.372780 0.12 
2117+050 0.005 21:17:20.7575 05:03:04.114 0.12 
2142-046 0.001 21:42:36.901689 -04:37:43.512810 0.12 
2157+102 0.005 21:57:12.8616 10:14:24.801 0.12 
2253+326 0.005 22:53:12.4985 32:36:04.314 0.12 
2326+012 0.005 23:26:25.6437 01:12:08.681 0.12 
0242+177 0.005 02:42:24.2689 17:42:58.846 0.11 
0405+380 0.001 04:05:49.262371 38:03:32.235500 0.11 
0825+135 0.005 08:25:11.8915 13:32:32.541 0.11 
0827+354 0.001 08:27:38.588225 35:25:05.077290 0.11 
0839+033 0.001 08:39:49.195829 03:19:53.858020 0.11 
1606+272 0.005 16:06:58.3033 27:17:05.603 0.11 
1640+123 0.001 16:40:47.938850 12:20:02.078870 0.11 
1811+170 0.005 18:11:43.1843 17:04:57.279 0.11 
1824+107 0.001 18:24:02.855259 10:44:23.774010 0.11 
1929+051 0.005 19:29:19.9475 05:07:57.596 0.11 
0004+203 0.005 00:04:35.7576 20:19:42.249 0.1 
0129+236 0.2 01:29:59.8013 23:38:20.728 0.1 
0130+087 0.005 01:30:27.6358 08:42:46.197 0.1 
0148+389 0.001 01:48:24.377637 38:54:05.219770 0.1 
0149+189 0.001 01:49:49.718946 18:57:20.610890 0.1 
0201+037 0.005 02:01:51.5093 03:43:09.256 0.1 
0211+108 0.005 02:11:13.1775 10:51:34.790 0.1 
0245+240 0.005 02:45:16.8571 24:05:35.189 0.1 
0249+063 0.001 02:49:18.016104 06:19:51.947230 0.1 
0256+135 0.005 02:56:34.9852 13:34:35.330 0.1 
0258+056 0.005 02:58:50.5267 05:41:08.036 0.1 
0318+164 0.001 03:18:57.802658 16:28:32.698500 0.1 
0329+279 0.005 03:29:57.669413 27:56:15.499140 0.1 
0344+159 0.001 03:44:23.172172 15:59:43.369310 0.1 
0355+391 0.005 03:55:16.5912 39:09:09.824 0.1 
0357+233 0.001 03:57:21.609873 23:19:53.826090 0.1 
0424+020 0.001 04:24:08.562028 02:04:24.964950 0.1 
0426+053 0.001 04:26:36.604102 05:18:19.872040 0.1 
0426+234 0.001 04:26:55.734784 23:27:39.633690 0.1 
0443+346 0.001 04:43:31.635199 34:41:06.664090 0.1 
0448+114 0.005 04:48:50.4131 11:27:54.391 0.1 
0456+040 0.001 04:56:47.174725 04:00:52.947300 0.1 
0459+024 0.001 04:59:52.050664 02:29:31.176310 0.1 
0501+139 0.001 05:01:45.270840 13:56:07.220630 0.1 
0511+011 0.005 05:11:57.612491 01:10:49.435480 0.1 
0517+068 0.001 05:17:51.344149 06:48:03.210710 0.1 
0518+331 0.005 05:18:05.1438 33:06:13.369 0.1 
0521+212 0.001 05:21:45.965828 21:12:51.451360 0.1 
0522+012 0.001 05:22:17.467439 01:13:31.186300 0.1 
0527+035 0.001 05:27:32.705431 03:31:31.516650 0.1 
0603+177 0.001 06:03:09.130269 17:42:16.810700 0.1 
0613+171 0.05 06:13:36.3548 17:08:25.000 0.1 
0631+203 0.005 06:31:01.0614 20:20:59.206 0.1 
0644+392 0.001 06:44:53.709551 39:14:47.533460 0.1 
0657+243 0.005 06:57:05.6759 24:23:55.417 0.1 
0726+218 0.005 07:26:14.2613 21:53:20.126 0.1 
0728+218 0.001 07:28:20.608297 21:53:06.390580 0.1 
0744-064 0.05 07:44:21.6605 -06:29:35.888 0.1 
0745+317 0.001 07:45:41.671522 31:42:56.615620 0.1 
0833+038 0.005 08:33:18.9134 03:50:32.356 0.1 
0856+211 0.005 08:56:57.2445 21:11:43.644 0.1 
0935+092 0.005 09:35:13.6411 09:15:07.813 0.1 
0941+274 0.005 09:41:48.1160 27:28:38.820 0.1 
0953+173 0.005 09:53:59.2316 17:20:56.669 0.1 
1002+122 0.005 10:02:52.845171 12:16:14.587060 0.1 
1007-021 0.001 10:07:04.349917 -02:07:10.917720 0.1 
1044+069 0.001 10:44:55.911239 06:55:38.262770 0.1 
1103+119 0.005 11:03:03.5299 11:58:16.610 0.1 
1109+377 0.005 11:09:28.8718 37:44:30.924 0.1 
1147+350 0.001 11:47:22.130606 35:01:07.522920 0.1 
1207+121 0.005 12:07:12.6245 12:11:45.885 0.1 
1230+253 0.005 12:30:14.0912 25:18:07.139 0.1 
1237+194 0.005 12:37:36.4220 19:24:40.635 0.1 
1310+007 0.005 13:10:28.5027 00:44:08.870 0.1 
1411+215 0.005 14:11:54.862146 21:34:23.436330 0.1 
1427+238 0.005 14:27:00.3951 23:48:00.041 0.1 
1436+233 0.001 14:36:40.981113 23:21:03.259730 0.1 
1442+325 0.005 14:42:00.1371 32:34:20.300 0.1 
1448+040 0.005 14:48:50.361088 04:02:19.892730 0.1 
1453+268 0.001 14:53:53.600633 26:48:33.410300 0.1 
1539+045 0.005 15:39:10.1047 04:30:51.243 0.1 
1546+004 0.001 15:46:09.531474 00:26:24.614080 0.1 
1603+110 0.005 16:03:41.9302 11:05:48.678 0.1 
1619+062 0.001 16:19:03.687684 06:13:02.243570 0.1 
1648+224 0.005 16:48:01.5349 22:24:33.106 0.1 
1652+063 0.005 16:52:01.3998 06:18:55.345 0.1 
1652+390 0.005 16:52:58.5104 39:02:49.820 0.1 
1659+264 0.005 16:59:24.1492 26:29:37.018 0.1 
1822-096 0.2 18:22:28.7042 -09:38:56.835 0.1 
1826+345 0.005 18:26:59.9826 34:31:14.099 0.1 
1829+399 0.001 18:29:56.520223 39:57:34.703080 0.1 
2010+333 0.05 20:10:49.7063 33:22:13.627 0.1 
2039+218 0.005 20:39:34.8064 21:52:09.639 0.1 
2047-026 0.05 20:47:10.3514 -02:36:22.152 0.1 
2120+055 0.005 21:20:41.1823 05:33:45.009 0.1 
2140+391 0.005 21:40:16.947117 39:11:44.854860 0.1 
2151+058 0.001 21:51:37.875501 05:52:12.954350 0.1 
2154+174 0.005 21:54:40.9018 17:27:50.824 0.1 
2238+278 0.005 22:38:12.8738 27:49:52.783 0.1 
2301+061 0.005 23:01:53.4620 06:09:12.841 0.1 
2304+235 0.001 23:04:36.436407 23:31:07.610470 0.1 
2308+097 0.005 23:08:44.1712 09:46:26.096 0.1 
0001+192 0.001 00:01:08.621563 19:14:33.801860 0.09 
0006+243 0.005 00:06:48.789395 24:22:36.392490 0.09 
0013+191 0.001 00:13:56.376087 19:10:41.914910 0.09 
0019+260 0.001 00:19:39.780587 26:02:52.278760 0.09 
0122+299 0.005 01:22:45.4279 29:54:12.604 0.09 
0152+372 0.005 01:52:12.2211 37:16:05.676 0.09 
0154+083 0.005 01:54:02.7707 08:23:51.080 0.09 
0237+054 0.005 02:37:14.0372 05:26:49.929 0.09 
0253+180 0.05 02:53:34.882307 18:05:42.523630 0.09 
0257+187 0.005 02:57:45.6294 18:47:05.369 0.09 
0356+290 0.005 03:56:08.4601 29:03:42.277 0.09 
0401+211 0.005 04:01:45.1643 21:10:28.610 0.09 
0412+001 0.005 04:12:33.456407 00:10:48.493230 0.09 
0429+274 0.005 04:29:52.9631 27:24:37.861 0.09 
0513+010 0.001 05:13:40.032514 01:00:21.654410 0.09 
0554+356 0.005 05:54:09.5296 35:41:31.407 0.09 
0559+378 0.005 05:59:00.4527 37:49:55.517 0.09 
0710-037 0.05 07:10:20.1341 -03:43:27.795 0.09 
0736+260 0.005 07:36:58.0731 26:04:49.883 0.09 
0738-064 0.001 07:38:57.175504 -06:26:58.056540 0.09 
0740+288 0.005 07:40:33.5439 28:52:47.264 0.09 
0751+018 0.005 07:51:02.2822 01:52:15.758 0.09 
0752+375 0.005 07:52:40.9080 37:30:24.308 0.09 
0853+069 0.005 08:53:48.1908 06:54:47.227 0.09 
0930+350 0.001 09:30:55.279075 35:03:37.608530 0.09 
0943+170 0.005 09:43:17.2243 17:02:18.969 0.09 
1113+147 0.001 11:13:58.695097 14:42:26.952620 0.09 
1124+231 0.005 11:24:31.5897 23:07:55.976 0.09 
1130+087 0.005 11:30:35.9503 08:46:43.088 0.09 
1149+284 0.005 11:49:08.9065 28:24:34.903 0.09 
1211+183 0.005 12:11:06.6864 18:20:34.257 0.09 
1218+110 0.005 12:18:26.0941 11:05:05.268 0.09 
1457+078 0.001 14:57:38.128708 07:49:54.714990 0.09 
1543-079 0.005 15:43:01.687567 -07:57:06.629160 0.09 
1610+242 0.005 16:10:42.0303 24:14:49.051 0.09 
1624+057 0.005 16:24:07.7339 05:43:24.230 0.09 
1722+282 0.005 17:22:42.1578 28:15:00.008 0.09 
1759+237 0.001 17:59:00.358091 23:43:46.953790 0.09 
1834-030 0.005 18:34:13.9273 -03:01:21.125 0.09 
1844+132 0.005 18:44:07.2636 13:12:28.044 0.09 
1911+161 0.005 19:11:58.2576 16:11:46.861 0.09 
1950+081 0.001 19:50:05.5403 08:07:13.981 0.09 
1957+336 0.001 19:57:40.549950 33:38:27.944030 0.09 
2016+360 0.05 20:16:45.6237 36:00:33.437 0.09 
2125+046 0.005 21:25:29.2554 04:41:35.526 0.09 
2209+359 0.005 22:09:45.3350 35:56:01.138 0.09 
2217+319 0.005 22:17:17.5777 31:56:49.989 0.09 
2245+050 0.005 22:45:53.6546 05:00:56.963 0.09 
2304+063 0.005 23:04:28.2915 06:20:08.319 0.09 
2307+148 0.05 23:07:33.966472 14:50:18.405500 0.09 
2329+085 0.005 23:29:05.7862 08:34:15.846 0.09 
2346+070 0.05 23:46:39.933385 07:05:06.846400 0.09 
0024+246 0.005 00:24:27.3320 24:39:26.300 0.08 
0028+200 0.001 00:28:29.818489 20:00:26.744480 0.08 
0139+178 0.005 01:39:41.9795 17:53:07.539 0.08 
0208-004 0.005 02:08:26.3466 -00:47:44.292 0.08 
0301+317 0.005 03:01:23.2559 31:42:08.438 0.08 
0301+013 0.005 03:01:23.6061 01:18:35.971 0.08 
0518+209 0.001 05:18:03.824489 20:54:52.497150 0.08 
0603+219 0.005 06:03:51.557091 21:59:37.697500 0.08 
0604+109 0.005 06:04:49.3695 10:55:40.363 0.08 
0613+260 0.05 06:13:50.1366 26:04:36.731 0.08 
0630+176 0.005 06:30:07.2587 17:38:12.930 0.08 
0642+351 0.005 06:42:58.1402 35:09:18.388 0.08 
0714+355 0.005 07:14:24.817480 35:34:39.795330 0.08 
0731+248 0.005 07:31:33.7444 24:51:58.566 0.08 
0732+018 0.005 07:32:22.7885 01:50:35.380 0.08 
0818+052 0.005 08:18:56.2370 05:17:37.274 0.08 
0824+246 0.005 08:24:33.0094 24:38:43.111 0.08 
0931+142 0.005 09:31:05.3424 14:14:16.522 0.08 
1102+279 0.001 11:02:14.288458 27:57:08.689940 0.08 
1133+006 0.001 11:33:20.055797 00:40:52.837200 0.08 
1145+049 0.005 11:45:21.3159 04:55:26.699 0.08 
1148+186 0.005 11:48:37.7776 18:40:08.983 0.08 
1322+218 0.005 13:22:11.4027 21:48:12.276 0.08 
1458+373 0.001 14:58:44.794437 37:20:21.622660 0.08 
1525+111 0.005 15:25:02.934037 11:07:44.060500 0.08 
1544+041 0.005 15:44:59.427327 04:07:46.357270 0.08 
1658+347 0.001 16:58:01.419204 34:43:28.402400 0.08 
1700+053 0.005 17:00:23.9556 05:22:44.088 0.08 
1708+005 0.005 17:08:44.6472 00:35:09.500 0.08 
1726+066 0.005 17:26:44.9455 06:39:18.503 0.08 
1726+322 0.005 17:26:35.1240 32:13:23.009 0.08 
1730+004 0.005 17:30:34.9985 00:24:38.673 0.08 
1755+338 0.005 17:55:11.2427 33:50:59.772 0.08 
1914+166 0.005 19:14:14.4597 16:36:39.022 0.08 
1937+361 0.005 19:37:31.4367 36:07:35.846 0.08 
2005+184 0.005 20:05:08.4033 18:25:34.455 0.08 
2024+276 0.005 20:24:51.2329 27:36:01.720 0.08 
2123+101 0.005 21:23:13.3594 10:07:54.961 0.08 
2212+067 0.005 22:12:50.8400 06:46:08.720 0.08 
2219+181 0.005 22:19:14.0946 18:06:35.615 0.08 
2340+266 0.001 23:40:29.029462 26:41:56.804850 0.08 
0034+279 0.001 00:34:43.486188 27:54:25.721670 0.07 
0039+141 0.005 00:39:39.6197 14:11:57.558 0.07 
0152+338 0.005 01:52:34.5754 33:50:33.154 0.07 
0200+033 0.005 02:00:40.8172 03:22:49.502 0.07 
0215+054 0.005 02:15:55.0114 05:24:25.551 0.07 
0247+329 0.005 02:47:41.2324 32:54:31.799 0.07 
0327+007 0.005 03:27:59.2161 00:44:22.735 0.07 
0347+236 0.005 03:47:57.1109 23:39:55.341 0.07 
0409+066 0.005 04:09:25.8474 06:40:35.086 0.07 
0412+189 0.001 04:12:45.944202 18:56:37.076610 0.07 
0445+072 0.005 04:45:01.428730 07:15:53.914030 0.07 
0446+390 0.005 04:46:11.4934 39:00:17.106 0.07 
0544+113 0.005 05:44:52.1995 11:18:49.909 0.07 
0551+084 0.005 05:51:11.2291 08:29:11.210 0.07 
0552+192 0.005 05:52:25.8858 19:13:40.275 0.07 
0632+159 0.005 06:32:33.5153 15:54:22.575 0.07 
0733+049 0.005 07:33:57.4605 04:56:14.505 0.07 
0735+331 0.2 07:35:55.5660 33:07:09.410 0.07 
0736+299 0.005 07:36:13.6635 29:54:22.203 0.07 
0743+172 0.005 07:43:05.1067 17:14:24.405 0.07 
0743+234 0.005 07:43:44.9726 23:28:38.992 0.07 
0758+116 0.005 07:58:07.6584 11:36:46.050 0.07 
0758+377 0.005 07:58:28.1080 37:47:11.810 0.07 
0802+251 0.005 08:02:41.5889 25:09:10.915 0.07 
0803+043 0.005 08:03:56.4444 04:21:02.724 0.07 
0808+052 0.005 08:08:38.8478 05:14:39.941 0.07 
0817+238 0.005 08:17:10.5482 23:52:23.950 0.07 
0825+270 0.005 08:25:47.3942 27:04:22.033 0.07 
0832+185 0.001 08:32:16.040224 18:32:12.133260 0.07 
0839+180 0.005 08:39:30.7209 18:02:47.141 0.07 
0850+377 0.005 08:50:24.7310 37:47:09.473 0.07 
0852+285 0.005 08:52:05.1707 28:33:59.747 0.07 
0905+288 0.005 09:05:41.7665 28:49:28.257 0.07 
0911+338 0.005 09:11:47.7642 33:49:16.823 0.07 
0915+001 0.005 09:15:51.6955 00:07:13.304 0.07 
0915+295 0.001 09:15:52.401620 29:33:24.042740 0.07 
0921+080 0.005 09:21:01.0648 08:05:05.671 0.07 
0921+138 0.005 09:21:31.3736 13:50:48.230 0.07 
0943-083 0.005 09:43:36.944364 -08:19:30.812400 0.07 
0945+355 0.005 09:45:38.1207 35:34:55.078 0.07 
0952+352 0.001 09:52:32.026134 35:12:52.403280 0.07 
1001+291 0.001 10:01:10.205627 29:11:37.536350 0.07 
1013+347 0.001 10:13:49.614027 34:45:50.783770 0.07 
1018+357 0.001 10:18:10.988079 35:42:39.441310 0.07 
1024-008 0.005 10:24:29.586611 -00:52:55.497850 0.07 
1028+029 0.001 10:28:20.401279 02:55:22.471330 0.07 
1029+053 0.005 10:29:21.8307 05:19:38.756 0.07 
1048+009 0.005 10:48:07.7454 00:55:43.478 0.07 
1120+070 0.005 11:20:38.4439 07:04:47.158 0.07 
1125+200 0.005 11:25:58.7440 20:05:54.381 0.07 
1133+002 0.005 11:33:03.0298 00:15:48.981 0.07 
1159+099 0.005 11:59:11.8674 09:54:47.014 0.07 
1206+396 0.005 12:06:37.0545 39:41:03.738 0.07 
1206+054 0.005 12:06:58.0281 05:29:52.266 0.07 
1209+257 0.005 12:09:45.0969 25:47:03.752 0.07 
1209+181 0.005 12:09:51.7616 18:10:06.790 0.07 
1220+381 0.005 12:20:59.2300 38:08:55.694 0.07 
1225+392 0.001 12:25:50.569068 39:14:22.686760 0.07 
1228+371 0.005 12:28:47.4246 37:06:12.082 0.07 
1231+043 0.005 12:31:27.5863 04:18:01.895 0.07 
1235+363 0.005 12:35:05.8076 36:21:19.308 0.07 
1236+393 0.005 12:36:51.4491 39:20:27.694 0.07 
1242+373 0.001 12:42:09.812378 37:20:05.692350 0.07 
1410+075 0.005 14:10:35.0752 07:31:21.476 0.07 
1420+373 0.005 14:20:00.3407 37:21:34.672 0.07 
1422+323 0.005 14:22:30.3776 32:23:10.419 0.07 
1514+028 0.005 15:14:34.7340 02:52:48.493 0.07 
1521+043 0.005 15:21:22.543597 04:20:30.133630 0.07 
1538+003 0.001 15:38:15.953081 00:19:05.324150 0.07 
1539+277 0.005 15:39:39.1405 27:44:38.280 0.07 
1550+113 0.005 15:50:43.5949 11:20:47.447 0.07 
1559+030 0.001 15:59:30.972610 03:04:48.256960 0.07 
1606+314 0.001 16:06:08.518405 31:24:46.457890 0.07 
1611+189 0.005 16:11:49.0481 18:56:38.137 0.07 
1629+150 0.005 16:29:44.7996 15:00:18.617 0.07 
1636+212 0.005 16:36:38.1899 21:12:55.659 0.07 
1649+042 0.005 16:49:27.6788 04:12:03.979 0.07 
1726+272 0.005 17:26:53.4126 27:17:16.394 0.07 
1728+386 0.005 17:28:59.1417 38:38:26.457 0.07 
1745+228 0.005 17:45:04.6676 22:52:48.045 0.07 
1812-068 0.2 18:12:50.941918 -06:48:23.853810 0.07 
1824+114 0.005 18:24:03.9476 11:27:37.698 0.07 
1825-076 0.05 18:25:37.6020 -7:37:30.223 0.07 
1826+185 0.005 18:26:17.710884 18:31:52.889930 0.07 
1828+264 0.005 18:28:30.6426 26:26:39.598 0.07 
1835+326 0.005 18:35:03.3916 32:41:46.819 0.07 
1838+094 0.005 18:38:54.8357 09:27:27.897 0.07 
1840+390 0.001 18:40:57.154250 39:00:45.724080 0.07 
1857+164 0.005 18:57:25.5959 16:24:55.846 0.07 
1904+156 0.005 19:04:14.3609 15:36:38.448 0.07 
1912+053 0.05 19:12:54.3036 5:18:01.002 0.07 
1914+166 0.05 19:14:14.4326 16:36:38.547 0.07 
1919+063 0.005 19:19:17.3514 06:19:42.768 0.07 
1929+257 0.005 19:29:44.9170 25:43:16.223 0.07 
1939+372 0.005 19:39:51.8064 37:13:30.498 0.07 
2007+373 0.05 20:07:45.3770 37:22:02.107 0.07 
2009+133 0.005 20:09:27.2209 13:18:14.458 0.07 
2018+085 0.005 20:18:11.3122 08:31:54.553 0.07 
2034+119 0.005 20:34:37.1103 11:54:31.388 0.07 
2043+129 0.005 20:43:10.2093 12:55:13.576 0.07 
2052+163 0.005 20:52:43.6206 16:19:48.833 0.07 
2106+250 0.005 21:06:39.7582 25:00:57.530 0.07 
2125+247 0.005 21:25:26.1732 24:42:03.601 0.07 
2133+147 0.005 21:33:37.3893 14:43:46.471 0.07 
2204+365 0.005 22:04:21.0997 36:32:37.094 0.07 
2212+018 0.05 22:12:37.9770 01:52:51.151 0.07 
2212+279 0.005 22:12:39.1040 27:59:38.439 0.07 
2216+310 0.005 22:16:42.7120 31:02:35.365 0.07 
2238+127 0.005 22:38:34.6048 12:42:50.775 0.07 
2254+009 0.005 22:54:04.4071 00:54:20.965 0.07 
2300+036 0.005 23:00:40.8860 03:37:10.846 0.07 
2308+201 0.005 23:08:11.636418 20:08:42.194710 0.07 
2322+187 0.001 23:22:28.568818 18:43:24.898400 0.07 
2350+111 0.005 23:50:02.030907 11:06:36.704550 0.07 
0008+117 0.005 00:08:00.8394 11:44:00.784 0.06 
0010+207 0.005 00:10:28.7425 20:47:49.713 0.06 
0027+094 0.005 00:27:05.7947 09:29:57.752 0.06 
0027+226 0.001 00:27:15.371536 22:41:58.068950 0.06 
0036+145 0.005 00:36:35.1101 14:34:03.629 0.06 
0040+014 0.005 00:40:13.5252 01:25:46.303 0.06 
0101+166 0.005 01:01:57.7197 16:39:40.956 0.06 
0107+132 0.005 01:07:45.9616 13:12:05.194 0.06 
0123+262 0.005 01:23:43.0432 26:15:22.414 0.06 
0124+280 0.005 01:24:55.8766 28:05:11.355 0.06 
0151+252 0.005 01:51:06.2340 25:17:28.643 0.06 
0205+147 0.005 02:05:13.1179 14:44:32.380 0.06 
0209-046 0.005 02:09:30.7666 -04:38:26.150 0.06 
0211+171 0.005 02:11:48.7801 17:07:22.726 0.06 
0213+183 0.005 02:13:10.5299 18:20:25.459 0.06 
0220+326 0.005 02:20:48.0539 32:41:06.457 0.06 
0309+276 0.005 03:09:22.0965 27:38:54.371 0.06 
0411+087 0.005 04:11:33.8575 08:43:11.408 0.06 
0422+309 0.005 04:22:21.2256 30:58:09.668 0.06 
0440+274 0.005 04:40:27.7415 27:28:40.666 0.06 
0453+014 0.005 04:53:02.2386 01:28:35.625 0.06 
0509+354 0.005 05:09:05.8451 35:28:17.289 0.06 
0535+391 0.005 05:35:55.1180 39:10:58.397 0.06 
0622+334 0.005 06:22:52.2250 33:26:10.434 0.06 
0646+306 0.005 06:46:15.2431 30:41:23.669 0.06 
0735+206 0.005 07:35:52.7431 20:36:38.827 0.06 
0745+332 0.005 07:45:59.3263 33:13:34.130 0.06 
0805+211 0.005 08:05:38.5332 21:06:51.512 0.06 
0807+138 0.005 08:07:38.5058 13:52:17.370 0.06 
0814+326 0.005 08:14:09.2217 32:37:31.944 0.06 
0844+385 0.005 08:44:29.0976 38:30:55.688 0.06 
0854+073 0.005 08:54:35.0369 07:20:24.137 0.06 
0914+352 0.005 09:14:39.4238 35:12:04.587 0.06 
0923+388 0.005 09:23:14.4534 38:49:39.904 0.06 
0925+314 0.005 09:25:43.6527 31:27:10.833 0.06 
0930+005 0.005 09:30:52.2542 00:34:58.941 0.06 
0954+266 0.005 09:54:39.7948 26:39:24.537 0.06 
1001+344 0.001 10:01:11.949192 34:24:50.459100 0.06 
1003+327 0.001 10:03:57.564655 32:44:03.542040 0.06 
1006+349 0.005 10:06:01.7500 34:54:10.400 0.06 
1021+346 0.001 10:21:17.474691 34:37:21.665110 0.06 
1037+285 0.005 10:37:43.8340 28:34:59.450 0.06 
1041+210 0.005 10:41:27.1034 21:01:41.497 0.06 
1051+204 0.005 10:51:01.3738 20:27:20.008 0.06 
1120+143 0.05 11:20:27.807267 14:20:54.991600 0.06 
1131+312 0.005 11:31:09.4797 31:14:05.490 0.06 
1132+005 0.005 11:32:45.6189 00:34:27.821 0.06 
1136+341 0.005 11:36:27.3454 34:07:39.504 0.06 
1207+279 0.001 12:07:27.900475 27:54:58.849970 0.06 
1221+051 0.005 12:21:52.3345 05:10:16.072 0.06 
1228+314 0.005 12:28:24.9648 31:28:37.617 0.06 
1315+123 0.005 13:15:01.8531 12:20:52.635 0.06 
1343+287 0.005 13:43:00.1795 28:44:07.497 0.06 
1431+398 0.005 14:31:20.5384 39:52:41.541 0.06 
1504+289 0.005 15:04:26.6997 28:54:30.602 0.06 
1507+042 0.005 15:07:59.7320 4:15:11.978 0.06 
1513+236 0.001 15:13:40.185630 23:38:35.200460 0.06 
1527+312 0.005 15:27:18.7401 31:15:24.420 0.06 
1536+385 0.005 15:36:13.8471 38:33:28.601 0.06 
1627+122 0.005 16:27:37.0320 12:16:07.114 0.06 
1644+073 0.005 16:44:16.3304 07:20:33.765 0.06 
1647+270 0.005 16:47:33.6034 27:05:58.355 0.06 
1650+084 0.005 16:50:37.5622 08:24:52.241 0.06 
1707+187 0.005 17:07:53.7476 18:46:39.028 0.06 
1721+357 0.001 17:21:09.491039 35:42:16.063500 0.06 
1743+195 0.005 17:43:57.8338 19:35:09.028 0.06 
1748+085 0.005 17:48:06.2607 08:32:19.282 0.06 
1749+197 0.005 17:49:05.4745 19:44:08.851 0.06 
1803+036 0.005 18:03:56.2829 03:41:07.575 0.06 
1847+081 0.005 18:47:12.6613 08:10:35.377 0.06 
1900+273 0.005 19:00:34.6753 27:22:30.864 0.06 
1928+088 0.001 19:28:40.855498 08:48:48.413060 0.06 
1939+382 0.005 19:39:33.5663 38:17:35.397 0.06 
1947+128 0.005 19:47:19.5271 12:48:55.441 0.06 
2001+104 0.005 20:01:10.6440 10:27:58.124 0.06 
2021+052 0.005 20:21:35.2802 05:15:04.770 0.06 
2116+056 0.005 21:16:36.6354 05:36:17.055 0.06 
2121+190 0.005 21:21:00.6072 19:01:28.300 0.06 
2130+087 0.005 21:30:16.2495 08:43:55.913 0.06 
2130+167 0.005 21:30:22.3685 16:43:25.633 0.06 
2139+173 0.005 21:39:37.1474 17:18:26.071 0.06 
2149+079 0.005 21:49:35.2640 07:56:25.355 0.06 
2200+105 0.005 22:00:07.9335 10:30:07.903 0.06 
2212+331 0.005 22:12:07.9781 33:08:34.513 0.06 
2214+071 0.005 22:14:08.8626 7:11:42.382 0.06 
2222+122 0.005 22:22:52.9906 12:13:49.825 0.06 
2229+012 0.005 22:29:51.8023 01:14:56.708 0.06 
2242+176 0.005 22:42:47.9565 17:41:44.176 0.06 
2249+116 0.005 22:49:54.5860 11:36:30.840 0.06 
2326+151 0.005 23:26:52.8926 15:07:39.730 0.06 
2341+003 0.005 23:41:06.9102 00:18:33.305 0.06 
0037+111 0.001 00:37:26.041410 11:09:50.920900 0.05 
0103+154 0.005 01:03:26.0022 15:26:24.675 0.05 
0111+391 0.001 01:11:37.316982 39:06:28.104300 0.05 
0113+134 0.005 01:13:54.5102 13:24:52.478 0.05 
0137+313 0.005 01:37:08.7327 31:22:35.789 0.05 
0155+225 0.005 01:55:58.9358 22:30:11.864 0.05 
0200+253 0.005 02:00:20.6394 25:23:54.694 0.05 
0232+232 0.005 02:32:20.7581 23:17:56.825 0.05 
0234+047 0.005 02:34:07.1546 04:46:43.052 0.05 
0302+123 0.001 03:02:30.546779 12:18:56.750940 0.05 
0428+329 0.001 04:28:05.808723 32:59:52.043850 0.05 
0432+315 0.005 04:32:06.4442 31:31:13.300 0.05 
0444+107 0.005 04:44:12.466072 10:42:47.264310 0.05 
0448+364 0.005 04:48:35.1608 36:29:31.421 0.05 
0519+277 0.005 05:19:33.0246 27:44:04.267 0.05 
0558+343 0.005 05:58:00.0891 34:18:48.373 0.05 
0605+096 0.005 06:05:10.1131 09:39:13.593 0.05 
0632+159 0.001 06:32:43.135530 15:59:57.619770 0.05 
